                        Nombre_de_la_prueba: MF1-1:1

  Datos_de_entrada
  b      15.0000     lm      96.0000    hc     15.0000
  fpc      280.000
 tipo_acero: G42RB                                              rho     9.844748E-04
      Datos del acero
  diámetro      núm._de_barras         profundidad
     0.950000         1.00000         7.50000
     0.950000         1.00000         88.5000
 altura_ini_fin_mod      7.50000         88.5000

 datos_estribos

 Criterios_de_iteración
 iter_máx_para_C     1000.00     núm.de_fibras:      2000.00

                 Resultados

                          Criterio_falla_concreto_NO_confinado
  Momento         Carga_axial             eje_Neutro              phi

      1644.58         2.32052         53.3007        2.124417E-06
      1639.96         2.29775         53.2007        2.119453E-06
      1635.35         2.27507         53.1007        2.114513E-06
      1630.75         2.25247         53.0007        2.109595E-06
      1626.18         2.22996         52.9007        2.104701E-06
      1621.62         2.20753         52.8007        2.099829E-06
      1617.07         2.18519         52.7007        2.094979E-06
      1612.54         2.16293         52.6007        2.090152E-06
      1608.03         2.14076         52.5007        2.085347E-06
      1604.61         2.12406         52.4007        2.080564E-06
      1600.12         2.10202         52.3007        2.075803E-06
      1595.65         2.08007         52.2007        2.071064E-06
      1591.19         2.05819         52.1007        2.066346E-06
      1586.75         2.03640         52.0007        2.061650E-06
      1582.33         2.01469         51.9007        2.056975E-06
      1577.92         1.99307         51.8007        2.052321E-06
      1573.53         1.97153         51.7007        2.047689E-06
      1569.15         1.95006         51.6007        2.043077E-06
      1565.79         1.93374         51.5007        2.038485E-06
      1561.44         1.91241         51.4007        2.033915E-06
      1557.10         1.89115         51.3007        2.029365E-06
      1552.78         1.86998         51.2007        2.024835E-06
      1548.47         1.84888         51.1007        2.020325E-06
      1544.18         1.82787         51.0007        2.015836E-06
      1539.90         1.80693         50.9007        2.011366E-06
      1536.60         1.79090         50.8007        2.006916E-06
      1532.35         1.77008         50.7007        2.002486E-06
      1528.11         1.74935         50.6007        1.998075E-06
      1523.88         1.72869         50.5007        1.993684E-06
      1519.68         1.70811         50.4007        1.989311E-06
      1515.48         1.68761         50.3007        1.984959E-06
      1512.22         1.67182         50.2007        1.980625E-06
      1508.05         1.65144         50.1007        1.976309E-06
